sex,bs,n_breed,divorce,age,breed_exp,boldness,mate_boldness,year,last_bs
M,0.8,5,0,20,5,NA,NA,2010,1
M,1,1,0,16,2,NA,NA,2006,1
M,1,1,0,20,2,NA,NA,2010,1
F,1,6,0,21,6,7.61507,1.561979,2011,1
M,1,2,1,16,3,1.147859,NA,2006,1
M,1,3,0,20,5,1.147859,0.01440164,2010,1
M,0.428571429,7,0,20,7,2.347735,0.5180427,2010,1
M,1,1,0,12,2,2.948773,NA,2002,1
M,1,2,0,14,3,2.948773,NA,2004,1
M,0.8,5,0,21,5,1.644375,3.349841,2011,1
F,1,6,0,21,6,2.798154,1.519807,2011,1
F,0.8,5,0,20,5,1.086346,3.24625,2010,1
F,0,1,0,11,2,NA,NA,2001,0
M,1,6,0,19,6,1.74625,2.925052,2009,1
M,1,1,0,10,2,-0.1789539,NA,2000,1
M,1,4,1,20,6,-0.1789539,0.1169208,2010,1
M,0.333333333,3,0,21,4,0.5198069,NA,2011,0
M,1,2,1,19,3,1.392611,0.1097958,2011,1
F,0.75,4,0,16,4,NA,NA,2008,1
F,1,3,0,16,3,NA,NA,1985,1
M,0.333333333,3,0,19,3,NA,NA,1988,0
M,1,3,0,21,4,NA,NA,1990,1
M,1,1,0,26,5,NA,NA,1995,1
F,0.833333333,7,0,25,7,NA,NA,1994,1
F,0.75,4,0,15,4,3.014402,1.513279,2006,1
M,1,4,0,17,4,NA,2.513279,2008,1
F,0.666666667,3,0,18,4,3.348163,NA,2009,1
F,1,2,0,20,5,3.348163,2.567314,2011,1
F,1,2,0,14,3,NA,NA,2005,1
F,1,1,0,18,3,NA,NA,2009,1
M,0.666666667,6,0,19,6,0.647859,2.397859,2010,1
M,0.75,4,0,15,4,NA,1.440668,2006,1
F,0.75,4,0,18,5,1.440668,NA,2009,1
F,1,2,0,20,6,1.440668,0.768348,2011,1
M,0.8,5,0,19,5,0.4070109,3.171893,2010,1
F,1,2,0,16,2,NA,NA,2007,1
F,1,4,0,18,5,NA,NA,2009,1
F,0.333333333,3,0,13,3,NA,NA,2004,0
F,0.857142857,7,0,19,7,2.340168,0.6222456,2010,1
F,1,2,0,13,2,NA,0.4135356,2004,1
F,1,2,0,10,2,NA,0.09089471,2001,1
